2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': 'PCG04-音视频测试开发（深圳）', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '25668-腾讯云市场高级商务拓展经理（深圳）', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '28297-Roblox海外技术PM', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31967-直播合作项目经理', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31967-业务运营经理', 'category': '产品/项目类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞Web前端/UI开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞高级产品策划经理', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞后台开发工程师（深圳）', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '26699-智慧零售商业产品经理', 'category': '产品/项目类', 'nums': '1', 'location': '上海', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '26699-智慧零售产品运营（深圳/成都）（成都）', 'category': '产品/项目类', 'nums': '1', 'location': '成都', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '26699-智慧零售产品运营（深圳/成都）（深圳总部）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31504-腾讯云CDN专项高级技术支持工程师（深圳/北京）', 'category': '技术类', 'nums': '1', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': 'ZSC-Senior Patent Counsel', 'category': '职能类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': 'HGJ-senior legal counsel（AM）', 'category': '职能类', 'nums': '1', 'location': '香港', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '31871-服务器策略采购专家 ', 'category': '职能类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '14914-高级策划公关经理（深圳）', 'category': None, 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '25664-公检法行业解决方案架构师(深圳）', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '25664-政务民生解决方案架构师(深圳）', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'PCG14-数据分析工程师（深圳）', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'GY0-高级视觉设计师（深圳）', 'category': '设计类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'S2-Accounting Manager（US）', 'category': '职能类', 'nums': '1', 'location': '美国', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'FC-流程经理', 'category': '职能类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '7660-腾讯广告Java开发工程师（安全管理中心）', 'category': '技术类', 'nums': '1', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'GY0-JOOX海外音乐产品运营（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '21062-高级动画工程师（深圳）', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '25664-公有云解决方案售前架构师(深圳）', 'category': '技术类', 'nums': '5', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '31506-腾讯云安全高级产品经理', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '31506-腾讯云安全后台开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '31506-云安全重大项目交付架构师（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '19838-影视艺人经纪', 'category': '市场类', 'nums': '2', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'TME-腾讯音乐音乐曲库运营（深圳）', 'category': '内容编辑类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'S2-CDG财务管理（深圳）', 'category': '职能类', 'nums': '4', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '22989-高级NLP工程师', 'category': '技术类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '21882-高级产品运营经理（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '21882-高级产品策划经理（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '18427-理财通交互设计师', 'category': '设计类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '18435-风控大数据平台开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '18428-高级web前端开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'TB-高级投资分析师', 'category': None, 'nums': '1', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '21228- 游戏运营-版本数据岗', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '23671-企鹅号数据挖掘工程师-图像识别（深圳）', 'category': '技术类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '21882-腾讯医典数据运营分析师（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '28481-医疗生态合作经理（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': '22989-知识图谱后台开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'ZL-商业分析师/经理(游戏方向)', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:58 [tercent.spiders.offer] WARNING: {'intro': 'ZL-商业分析分析师/经理(医疗方向)', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'ZL-商业分析经理/总监（PCG方向）', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'ZL-商业分析经理/总监（地图业务方向）', 'category': '市场类', 'nums': '1', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'TB-投资经理', 'category': None, 'nums': '3', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '21087-MMORPG官网运营（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '21309-企鹅辅导高级教研经理（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '21309-在线教育部-数据推荐组组长', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '21309-企鹅辅导高级教研经理（北京）', 'category': '产品/项目类', 'nums': '1', 'location': '北京', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'ZL-战略leader', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'ZL-商业分析师/经理（金融科技方向）', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': 'TEG17-科研项目经理', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '14914-营销研究经理（深圳）', 'category': '市场类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29316-组织发展与绩效负责人', 'category': '职能类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '15569-横版射击手游版本运营（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '15569-魂斗罗手游关卡策划（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '21087-社区与用户运营（深圳）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:59 [tercent.spiders.offer] WARNING: {'intro': '29912-微视研发专场-后台开发类', 'category': '技术类', 'nums': '12', 'location': '深圳', 'date': '2019-03-07'}
